City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Akyab,MM,2022-11-17 14:17:48,20.15,92.9,78.22,68,3,9.22
68,Haines Junction,CA,2022-11-17 14:17:49,60.7522,-137.5108,12.15,85,100,3.44
69,San Rafael,AR,2022-11-17 14:17:49,-34.6177,-68.3301,78.39,47,1,10.42
70,Narsaq,GL,2022-11-17 14:17:49,60.9167,-46.05,21.42,82,37,5.14
71,Los Llanos De Aridane,ES,2022-11-17 14:13:01,28.6585,-17.9182,71.35,73,20,10.36
72,Pevek,RU,2022-11-17 14:17:50,69.7008,170.3133,-4.11,97,100,3.96
73,Pangnirtung,CA,2022-11-17 14:17:50,66.1451,-65.7125,-4.16,96,93,3.87
74,Albany,US,2022-11-17 14:15:16,42.6001,-73.9662,36.68,92,89,1.01
75,Barentu,ER,2022-11-17 14:17:50,15.1139,37.5928,87.76,20,4,9.64
76,Ulaanbaatar,MN,2022-11-17 14:13:10,47.9077,106.8832,19.53,73,75,0.0
77,Saldanha,ZA,2022-11-17 14:17:51,-33.0117,17.9442,63.09,69,100,22.88
78,Lebu,CL,2022-11-17 14:17:51,-37.6167,-73.65,62.02,71,84,9.33
79,Cape Town,ZA,2022-11-17 14:13:25,-33.9258,18.4232,71.11,58,100,13.0
80,Camapua,BR,2022-11-17 14:17:51,-19.5314,-54.0439,87.39,27,0,4.72
81,Beloha,MG,2022-11-17 14:17:52,-25.1667,45.05,78.76,53,0,12.75
82,Luderitz,NA,2022-11-17 14:17:52,-26.6481,15.1594,71.15,53,5,23.31
83,Okha,RU,2022-11-17 14:17:52,53.5739,142.9478,12.85,92,74,5.97
84,Necochea,AR,2022-11-17 14:17:52,-38.5473,-58.7368,71.13,53,6,10.92
85,Airai,TL,2022-11-17 14:17:53,-8.9266,125.4092,63.5,91,100,2.1
86,Kamenka,RU,2022-11-17 14:17:53,51.3223,42.7678,32.13,100,100,7.36
87,Seoul,KR,2022-11-17 14:16:34,37.5683,126.9778,45.84,100,0,2.3
88,Bambous Virieux,MU,2022-11-17 14:17:53,-20.3428,57.7575,75.22,60,74,6.8
89,Kholodnyy,RU,2022-11-17 14:17:54,62.7167,147.95,-30.28,100,81,1.57
90,Uhlove,UA,2022-11-17 14:18:54,44.8215,33.6045,57.02,84,100,24.67
91,Hami,CN,2022-11-17 14:18:54,42.8,93.45,38.62,41,100,2.08
92,Sampit,ID,2022-11-17 14:18:54,-2.5333,112.95,75.54,97,99,2.62
93,Oranjemund,NA,2022-11-17 14:18:55,-28.55,16.4333,66.7,60,11,19.15
94,Terrace,CA,2022-11-17 14:17:47,54.5163,-128.6035,33.71,64,0,24.16
95,Comodoro Rivadavia,AR,2022-11-17 14:18:55,-45.8667,-67.5,76.86,29,20,21.85
96,Sisimiut,GL,2022-11-17 14:18:55,66.9395,-53.6735,21.97,92,100,16.62
97,Ancud,CL,2022-11-17 14:16:20,-41.8697,-73.8203,59.23,95,100,7.25
98,Fairbanks,US,2022-11-17 14:18:56,64.8378,-147.7164,11.61,83,0,0.0
99,Yellowknife,CA,2022-11-17 14:15:25,62.456,-114.3525,14.56,85,100,5.01
100,Shimoda,JP,2022-11-17 14:14:49,34.6667,138.95,55.11,68,100,6.04
101,Touho,NC,2022-11-17 14:18:56,-20.7833,165.2333,77.47,82,84,4.68
102,Bud,US,2022-11-17 14:18:56,39.447,-86.1758,29.91,78,76,10.25
103,Hithadhoo,MV,2022-11-17 14:18:57,-0.6,73.0833,81.63,72,19,12.08
104,Matay,EG,2022-11-17 14:18:57,28.419,30.7792,74.93,35,14,8.95
105,Ribeira Grande,PT,2022-11-17 14:18:57,38.5167,-28.7,64.8,59,40,12.66
106,Tautira,PF,2022-11-17 14:18:57,-17.7333,-149.15,77.0,81,64,4.7
107,Iqaluit,CA,2022-11-17 14:18:58,63.7506,-68.5145,10.13,79,100,4.61
108,Piney Green,US,2022-11-17 14:18:58,34.716,-77.3202,47.17,54,40,6.91
109,Kumluca,TR,2022-11-17 14:18:58,36.3703,30.2869,66.2,70,100,7.25
110,Fort Nelson,CA,2022-11-17 14:18:58,58.8053,-122.7002,6.39,85,20,6.91
