City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coolum Beach,AU,2022-11-20 12:35:27,-26.5333,153.1,77.11,91,85,9.62
68,Yamethin,MM,2022-11-20 12:35:42,20.4333,96.15,73.27,71,1,3.18
69,Iqaluit,CA,2022-11-20 12:35:43,63.7506,-68.5145,1.13,55,75,4.61
70,Namibe,AO,2022-11-20 12:35:43,-15.1961,12.1522,75.87,69,41,11.65
71,Lovozero,RU,2022-11-20 12:35:43,68.005,35.0117,18.37,83,11,3.06
72,Hambantota,LK,2022-11-20 12:35:44,6.1241,81.1185,82.74,83,20,2.3
73,Lipin Bor,RU,2022-11-20 12:35:44,60.2622,37.9763,19.22,84,4,6.58
74,Faya,SA,2022-11-20 12:35:44,18.3851,42.4509,69.91,44,11,2.86
75,Mnogovershinnyy,RU,2022-11-20 12:35:45,53.9353,139.9242,21.33,97,97,3.78
76,Akyab,MM,2022-11-20 12:35:45,20.15,92.9,80.31,74,96,11.54
77,Ardakan,IR,2022-11-20 12:35:45,32.31,54.0175,65.8,26,0,11.7
78,Mar Del Plata,AR,2022-11-20 12:35:46,-38.0023,-57.5575,65.08,93,100,14.97
79,Thompson,CA,2022-11-20 12:33:57,55.7435,-97.8558,14.16,85,75,3.44
80,Norman Wells,CA,2022-11-20 12:35:46,65.282,-126.8329,21.24,100,75,4.61
81,Sokoni,TZ,2022-11-20 12:35:46,-6.4333,39.55,85.86,76,94,11.21
82,Bhag,PK,2022-11-20 12:35:47,29.0415,67.8239,74.73,24,59,3.98
83,Esperance,AU,2022-11-20 12:35:47,-33.8667,121.9,56.86,66,100,11.14
84,Sigli,ID,2022-11-20 12:36:47,5.3848,95.9609,80.44,81,100,4.94
85,Micheweni,TZ,2022-11-20 12:36:48,-4.9667,39.8333,83.55,69,88,8.01
86,Mahebourg,MU,2022-11-20 12:32:34,-20.4081,57.7,80.26,65,75,10.36
87,Albany,US,2022-11-20 12:36:48,42.6001,-73.9662,27.03,65,4,1.01
88,Port Elizabeth,ZA,2022-11-20 12:36:48,-33.918,25.5701,75.09,50,0,11.5
89,Shingu,JP,2022-11-20 12:29:46,33.7333,135.9833,63.07,92,100,19.06
90,Bethel,US,2022-11-20 12:32:35,41.3712,-73.414,33.55,54,0,5.75
91,Richmond,US,2022-11-20 12:33:13,37.5538,-77.4603,37.06,45,40,10.36
92,Havre-Saint-Pierre,CA,2022-11-20 12:36:49,50.2334,-63.5986,23.0,85,40,11.5
93,Bredasdorp,ZA,2022-11-20 12:36:49,-34.5322,20.0403,73.09,44,41,14.83
94,Vostok,RU,2022-11-20 12:36:50,46.4856,135.8833,22.71,95,86,4.85
95,Buraydah,SA,2022-11-20 12:33:43,26.326,43.975,70.25,31,6,11.59
96,Saint-Philippe,RE,2022-11-20 12:36:50,-21.3585,55.7679,78.39,78,66,6.71
97,Atuona,PF,2022-11-20 12:36:42,-9.8,-139.0333,76.89,73,95,9.44
98,Hays,US,2022-11-20 12:36:51,30.0502,-98.0336,40.21,81,100,3.0
99,Jesus Carranza,MX,2022-11-20 12:36:51,17.4333,-95.0333,69.04,93,100,13.6
100,Constitucion,CL,2022-11-20 12:33:15,-35.3333,-72.4167,60.87,56,0,11.36
101,Tasiilaq,GL,2022-11-20 12:36:51,65.6145,-37.6368,39.36,95,100,24.43
102,Luderitz,NA,2022-11-20 12:36:52,-26.6481,15.1594,77.76,48,100,22.15
103,Evanston,US,2022-11-20 12:36:52,42.0411,-87.6901,14.05,74,0,8.05
104,Mackay,AU,2022-11-20 12:36:52,-21.15,149.2,77.68,86,100,13.29
105,Kuusankoski,FI,2022-11-20 12:36:53,60.907,26.6244,27.41,96,100,9.22
106,Ponta Delgada,PT,2022-11-20 12:36:53,37.7333,-25.6667,67.5,88,75,16.11
107,New Ulm,US,2022-11-20 12:34:11,44.3125,-94.4605,18.43,76,0,10.36
108,Arco,IT,2022-11-20 12:33:51,45.9177,10.8867,59.38,45,4,2.01
109,Madimba,TZ,2022-11-20 12:36:53,-10.4,40.3333,88.92,62,20,26.46
110,Usinsk,RU,2022-11-20 12:33:48,65.9939,57.5281,32.43,98,100,15.12
111,Avarua,CK,2022-11-20 12:36:54,-21.2078,-159.775,73.45,73,40,8.05
112,Auchi,NG,2022-11-20 12:36:54,7.0667,6.2667,95.02,31,38,7.02
113,Tura,IN,2022-11-20 12:36:54,25.5198,90.2201,62.33,80,6,2.68
114,Buzmeyin,TM,2022-11-20 12:36:55,38.0507,58.2056,67.73,49,20,6.91
115,Auki,SB,2022-11-20 12:36:55,-8.7676,160.7034,77.38,82,12,5.48
116,Santana,BR,2022-11-20 12:33:54,-0.0583,-51.1817,86.18,74,40,8.05
117,Hithadhoo,MV,2022-11-20 12:32:21,-0.6,73.0833,81.68,75,16,9.31
118,Provideniya,RU,2022-11-20 12:36:56,64.3833,-173.3,23.56,93,100,10.04
119,Tabory,RU,2022-11-20 12:36:56,58.5198,64.5495,17.28,96,100,4.34
120,Vojka,RS,2022-11-20 12:36:57,44.9397,20.1539,43.05,100,100,10.36
121,Sisimiut,GL,2022-11-20 12:31:12,66.9395,-53.6735,22.46,92,100,17.36
122,Miles City,US,2022-11-20 12:29:45,46.4083,-105.8406,18.57,67,0,10.36
